uf,estado,regiao,region_color,caa_nome,site_oficial,instagram_handle,instagram_url,facebook_handle,facebook_url,x_twitter,youtube_outro,total_advs,app_disponivel,services_summary,services_source,review_flag
MS,Mato Grosso do Sul,Centro-Oeste,#C45DF5,CAAMS,https://caams.org.br,@caams.oficial,https://instagram.com/caams.oficial,caixadosadvogadosms,https://web.facebook.com/caixadosadvogadosms,,,21629,NAO,"Services handled via website and physical centers, including ""Saúde em Ordem"" (psychological care), Wellhub access, Hotel of the Law booking, restaurant discounts, and professional photography.","1-4, 7",
TO,Tocantins,Norte,#C45DF5,CAATO,https://caato.com.br,@caatocantins,https://www.instagram.com/caatocantins/,caatocantins,https://web.facebook.com/caatocantins,,,11621,NAO,"Official website for managing leisure club (Palmas) reservations, health plans, maternity aid, transit hotel, vaccination, and professional training (tiro esportivo).","1-4, 17",
PB,Paraiba,Nordeste,#A36A66,CAAPB,https://caapb.org.br,@caa_paraiba,https://instagram.com/caa_paraiba,caapb,https://www.facebook.com/CAAParaiba/?locale=pt_BR,,,24226,SIM,"A oferta combina bem-estar, apoio profissional e utilidade prática. Inclui o app CAA-PB para cupons, geolocalização de parceiros e agendamentos do Espaço da Beleza; o projeto Equilíbrio e Luz, voltado à saúde mental com oficinas e grupos terapêuticos; o Espaço da Beleza com serviços gratuitos; o Meu Primeiro Click para retratos profissionais; o Nosso Token para certificação digital gratuita da jovem advocacia; além de estacionamento exclusivo, transfer no circuito jurídico de João Pessoa e ações de interiorização em Patos, Campina Grande e Vale do Piancó.",USER_PATCH_2026-03-05_PB,
SE,Sergipe,Nordeste,#A36A66,CAASE,https://caase.com.br/,@caasergipe,https://instagram.com/caasergipe,CAASergipe,https://web.facebook.com/CAASergipe,,,14866,SIM,"Services include ""CAASE+ Beleza"" (beauty center), physiotherapy, dentistry, social assistance, Advantage Club, vaccination, dance classes, sports tournament organization (Seleções Sergipanas), and ""Equilíbrio e Luz"" mental health program.","1-4, 8, 14",
AL,Alagoas,Nordeste,#A36A66,CAAAL,https://caa-al.org.br,@caa.al,https://instagram.com/caa.al,caa.alagoas,https://web.facebook.com/caa.alagoas,,,17250,SIM,"Dedicated app for scheduling ""Primeiro Click"" photo sessions and medical center services, access to 100+ partner agreements, digital certification, health plans (Unimed), pharmacy services, and sports groups (Canoar, Vôlei de Lei).","1-4, 7, 8",
CE,Ceara,Nordeste,#A36A66,CAACE,https://caace.org.br,@caace.oab,https://instagram.com/caace.oab,caace.oab,https://web.facebook.com/caace.oab,,,43456,SIM,"Mobile app for benefit management and legal notification tracking (CAACE Intimações), health service scheduling (physiotherapy, pilates, dentistry, nutrition), vaccination campaigns, professional photo sessions (Minha Foto), and fitness platform (Wellhub).","1-4, 7",
MA,Maranhao,Nordeste,#A36A66,CAAMA,https://caama.org.br,@caama.oabma,https://instagram.com/caama.oabma,Caama,http://www.facebook.com/OABMA,,,27952,NAO,"Online consultation scheduling and chat support, health and dental services, fitness platform (Wellhub), ""Anuidade Zero"" program, legal research access (Jusbrasil), and ""CAAMA Talentos"" job vacancy portal.","1-4, 7",
PE,Pernambuco,Nordeste,#A36A66,CAAPE,https://caape.org.br,@caape_oab,https://instagram.com/caape_oab,caape,https://www.facebook.com/CAAPE.OABPE/,,,48093,NAO,"Service coordination via website and WhatsApp, including pharmacy delivery, dental plans, ""Van Saúde"" for women, exclusive parking network, ""OAB Pass"" gym program, and event ticket sales.","1-4, 7, 8",
PI,Piaui,Nordeste,#A36A66,CAAPI,https://caapi.org.br,@caapi,https://www.instagram.com/caapiaui/,caapioab,https://web.facebook.com/caapioab,,,19865,SIM,"Mobile app ""CAAPI Digital"" for issuing digital membership cards and accessing over 350 regional conventions, digital INSS appointment scheduling, health services via ""MetaversoMed"" (nutrition/psychology), legal coworking rooms, maternity support (Auxílio Natalidade), automotive discounts, and free Beach Tennis classes.","1-4, 7",
RN,Rio Grande do Norte,Nordeste,#A36A66,CAARN,https://caarn.org.br,@caarn.oab,https://instagram.com/caarn.oab,caarn.oab,https://web.facebook.com/caarn.oab,,,18553,SIM,"Mobile app ""CAARN OAB"" featuring ""CAARNPass"" (fitness/wellness), PJE Helpdesk, legal notification monitoring, clinic and photography service (Click CAARN) scheduling, room booking, geolocated discounts, and maternity/natality kits.","1-4, 7",
BA,Bahia,Nordeste,#A36A66,CAAB,https://caab.org.br,@caab_oficial,https://instagram.com/caab_oficial,caab.oficial,https://web.facebook.com/caab.oficial,,,69474,SIM,"Mobile app ""CAApp"" for scheduling medical and dental services, wellness platform enrollment (ADVPass/TotalPass), ""Meu Escritório"" workspace booking, transport services (ADVan) with GPS tracking and WhatsApp groups, vaccination, theater discounts, and sports activities (ADVerão).","1-4, 7",
AC,Acre,Norte,#31A69B,CAAAC,https://caaac.org.br,@caaac.oficial,https://instagram.com/caaac.oficial,caaac.oficial,https://web.facebook.com/caaac.oficial,,,4736,NAO,"Information managed via social media and Linktree, including Law Club management, digital business cards, supermarket network discounts, and emergency aid for natural disasters.","1-4, 7",
AP,Amapa,Norte,#31A69B,CAAAP,https://caaap.org.br,@caixadeassistenciadosadv.ap,https://instagram.com/caixadeassistenciadosadv.ap,caaamapa,https://web.facebook.com/caaamapa,,,5056,NAO,"Services managed via website and physical headquarters, including health insurance agreements (Unimed), event registration (Lawyer's Run), social campaigns (Adote uma Cartinha), gym discounts, and restaurant partnerships.",1-3,
AM,Amazonas,Norte,#31A69B,CAAAM,https://caaam.org.br,@caaamazonas,https://instagram.com/caaamazonas,caaamazonas,https://web.facebook.com/caaamazonas,,,18459,SIM,"Dedicated app launched in 2024 providing digital membership card, scheduling for health and wellness services (physiotherapy, pilates, psychology, massotherapy, MMA classes), fitness platform (Wellhub), shared offices, cafeteria services, collective weddings, and over 800 partner agreements.","1-4, 7, 8",
PA,Para,Norte,#31A69B,CAAPA,https://caapara.org.br,@caapa.oab,https://www.instagram.com/caapa.oab/,caapara.oficial,https://www.facebook.com/caapa.oab/?locale=pt_BR,,,32364,NAO,"Website-based services including football tournament registration, health service referrals (multivaccination), preventive cancer exams (PCCU), psychological support, and event hall booking.","2-4, 7",
RO,Rondonia,Norte,#31A69B,CAARO,https://caaro.org.br,@caaro_rondonia,https://instagram.com/caaro_rondonia,caarondonia,https://web.facebook.com/caarondonia,,,12596,NAO,"Support via website and 1Doc system, maternity support (Mães Atípicas), digital business cards (ADVCARD), psychological scheduling via WhatsApp, and store for law-themed products.",1-3,
RR,Roraima,Norte,#31A69B,CAARR,https://oabrr.org.br,@caaroraima,https://www.instagram.com/caaroraima/?hl=pt,CAARORAIMA,https://web.facebook.com/CAARORAIMA,,,3479,SIM,Dedicated app allowing members to request digital membership cards to access national conventions and local Roraima-specific partner services.,3,REVIEW_SITE_NOT_CAA_SPECIFIC
